Artist URI(s),Artist Name(s)
"spotify:artist:1GxkXlMwML1oSg5eLPiAz3, spotify:artist:6JL8zeS1NmiOftqZTRgdTz","Michael Bublé, Meghan Trainor"
spotify:artist:5yzE49FicYiSxN61oaxkNn,Judy Collins
spotify:artist:7LnaAXbDVIL75IVPnndf7w,Jamie Foxx
spotify:artist:3jEg5HvT2cuJQDjwjZxTb0,Timomatic
"spotify:artist:1zNqDE7qDGCsyzJwohVaoX, spotify:artist:1Hsdzj7Dlq2I7tHP7501T4, spotify:artist:5fiYAV2DWASxAUKDq7Gbe9","Anne-Marie, Niall Horan, Luca Schreiner"
spotify:artist:03hfAxVdAWj7kxDnSG0fLD,The Shadows
spotify:artist:6ogn9necmbUdCppmNnGOdi,Alanis Morissette
spotify:artist:0du5cEVh5yTK9QJze8zA0C,Bruno Mars
spotify:artist:3BykRRSbAiUHBrVx626F5X,Normie Rowe & The Playboys
spotify:artist:6uvq6FeVsmhOWfJHxVNeBL,Faron Young
spotify:artist:1Fmb52lZ6Jv7FMWXXTPO3K,Joan Jett & the Blackhearts
spotify:artist:6PFydyUHMKD2jm5NXzRPiK,Mental As Anything
spotify:artist:58lV9VcRSjABbAbfWS6skp,Bon Jovi
"spotify:artist:7lVtH5UmhLGyfN9iS2FFk7, spotify:artist:2Bn9Kf2NC3mJfExuN9DMdE, spotify:artist:5db0GomURBNEF6GmYObZvx","DHT, Edmee, Furious F."
spotify:artist:0aRJShMkUsHVCyCw5Klxj3,Do Re Mi
spotify:artist:6sfUgwUTFjy1SNF2uWOcPp,Kate Miller-Heidke
spotify:artist:0SD4eZCN4Kr0wQk56hCdh2,Bonnie Tyler
spotify:artist:27a0GiCba9K9lnkKidroFU,Canned Heat
"spotify:artist:3DiDSECUqqY1AuBP8qtaIa, spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Alicia Keys, Nicki Minaj"
spotify:artist:6p5JxpTc7USNnBnLzctyd4,Phillip Phillips
spotify:artist:4b0WsB47XCa9F83BmwQ7WX,The Righteous Brothers
spotify:artist:49NJc5qDmCRsN3SsBAqEa4,Natalie Bassingthwaighte
spotify:artist:6JGUkLiRAWMNYaHdUCIUvC,Rocky Burnette
"spotify:artist:0NKDgy9j66h3DLnN8qu1bB, spotify:artist:5MspMQqdVbdwP6ax3GXqum, spotify:artist:7gcCQIlkkfbul5Mt0jBQkg","Eurythmics, Annie Lennox, Dave Stewart"
spotify:artist:4bthk9UfsYUYdcFyqxmSUU,Tears For Fears
spotify:artist:6O74knDqdv3XaWtkII7Xjp,Boyz II Men
spotify:artist:0z5DFXmhT4ZNzWElsM7V89,Erasure
"spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:0hCNtLu0JehylgoiP8L4Gh","David Guetta, Nicki Minaj"
spotify:artist:6748v9yNrbb4PPJuvfoMRa,Peter Allen
spotify:artist:0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne
spotify:artist:5PfGQ1ZADHPl42iFtJX1wF,HERBIE
spotify:artist:0AuW7OCyKfFrsMbtHrYgIV,House Of Pain
spotify:artist:2ycOY0HWvU8XNL6VaPYuZP,The Galvatrons
"spotify:artist:64M6ah0SkkRsnPGtGiRAbb, spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Bebe Rexha, Doja Cat"
spotify:artist:2UazAtjfzqBF0Nho2awK4z,Stone Temple Pilots
spotify:artist:6VxCmtR7S3yz4vnzsJqhSV,Sheppard
spotify:artist:1Ic7597AdNZRVWP8Lwoa36,Flowers
spotify:artist:2qQeKHrQJHLLbvDAOSO874,Winger
spotify:artist:2JXn03fudjyRkQ1Ye9f5rk,Los Del Rio
spotify:artist:3kn0edxse3lzsrrtrNTtyU,Oliver
spotify:artist:3RNrq3jvMZxD9ZyoOZbQOD,Korn
"spotify:artist:4d3yvTptO48nOYTPBcPFZC, spotify:artist:4yiQZ8tQPux8cPriYMWUFP","Eve, Gwen Stefani"
spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc,Bastille
spotify:artist:7nDsS0l5ZAzMedVRKPP8F1,Ella Henderson
spotify:artist:5cJgEhhKGk7kiSA6O8Qzyc,Gale Garnett
spotify:artist:7AQzXO3NPNQsI7oNu5rC3r,Marcy Playground
spotify:artist:2p4FqHnazRucYQHyDCdBrJ,Simple Plan
spotify:artist:4Tw2N3wdvJPGEU7JqMxFfE,Eddie Money
spotify:artist:757aE44tKEUQEqRuT6GnEB,Roddy Ricch
spotify:artist:6q63S1EK0rwrdYj1ktmxRO,Derek
