Track URI,Track Name,Album URI
spotify:track:56qykFnmErHuUzt7FwAlAc,Turn Around (feat. Ne-Yo),spotify:album:5hLWqk2l9tsRN0zICJBxsQ
spotify:track:1Jrn6agPxzgRMh4SKfLz7A,Morning After Dark (Featuring Nelly Furtado & SoShy),spotify:album:0oLeI4xFJnOBMbQJH6TgEs
spotify:track:1qk9ujVgudgU8CyhKOx8ji,Somebody That I Used To Know,spotify:album:6EMxWaM803hd4sPsJ6PkcA
spotify:track:4KPq1367Nd9DtkmSmPsycY,Matthew & Son - Stereo Version,spotify:album:1EOnmB8FWY9Fn8p7RrRxkx
spotify:track:0GmtIUZe8STZOT6jDBC69l,Heaven & Hell - US Single Version,spotify:album:7kV1uhqaH7vVBZ0QTPVZxx
spotify:track:5jWZR3cKUChstrHpNnTPCS,You Are The Sunshine Of My Life,spotify:album:5x7vXXWapy8cUmdSuwpUy1
spotify:track:1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,spotify:album:3TJz2UBNYJtlEly0sPeNrQ
spotify:track:6rBgZvSsyJrk5ZXtKc8mcf,You're the One,spotify:album:4oa2hZ1r8L8Egf9ec6ncCM
spotify:track:4UMTp91LHhvW33ol9ZQH0Q,We Made You,spotify:album:7MZzYkbHL9Tk3O6WeD4Z0Z
spotify:track:6FmtB3SLE6eqb24VfMnH4z,Round Round,spotify:album:38oLAYrpyuLO8RchXHUzyz
spotify:track:1lItf5ZXJc1by9SbPeljFd,Juju on That Beat (TZ Anthem),spotify:album:5sQTfUX9uSwfCtPiYGO20V
spotify:track:0WfKDYeUAoLA3vdvLKKWMW,Poker Face,spotify:album:2FBA8NCSuQNi8jaR2Xjbal
spotify:track:3q2gRjU2UdOYRDY1p4cNHr,It Must Be Love,spotify:album:5TdKeSLPSowWxKkenaEK04
spotify:track:2RMeGXGofxpGolBUyvTnZf,The Wild Colonial Boy,spotify:album:4z6lzPnxVfkCibGIbPuIuu
spotify:track:6j4cO3gMhTuG9GTmdUX7op,You Talk Too Much,spotify:album:4JDH8EfRq4DZNqkY42IW8Y
spotify:track:2YGFjCtEo5hhNutCO8RdQf,Can't Get Enough Of You Baby,spotify:album:44zMHQz2GkFUEifL4DuDNY
spotify:track:1Co9NGodpCCvWuIfe0PzIS,One In A Million,spotify:album:68SzmgbXOVkYdNvvt6lpRW
spotify:track:0hKF8N8aflF1uDzEEnPr2j,Life Is A Highway,spotify:album:5mJYFwj51OpBqRSxZCBLTT
spotify:track:76cy1WJvNGJTj78UqeA5zr,IDGAF,spotify:album:01sfgrNbnnPUEyz6GZYlt9
spotify:track:6bH2owMgMDNW6zygbotS49,As Long as You Love Me,spotify:album:5oEljuMoe9MXH6tBIPbd5e
spotify:track:5U2m76qAMdr3gXI0g6ptlG,Come & Get It,spotify:album:4MGDyHLc9ctHHiX4wCn1tV
spotify:track:0k2GOhqsrxDTAbFFSdNJjT,Temperature,spotify:album:32Bu3ETQhR1PFCj3ndDlYf
spotify:track:5wzEKaovqFK2LXKKzScukl,Philadelphia Freedom,spotify:album:7bcUz60MilxMGurjN2T5nS
spotify:track:7z73ehYAn9O1XP9XlCqVtd,Who Dat Girl (feat. Akon),spotify:album:1TwNATuAqnNjTd5BSvFZlS
spotify:track:33XpXmKmVTopPKnxTgbVOD,True Colours,spotify:album:5edluM30Us1pl4LA8umamH
spotify:track:093UVG0vgKjxj4UDjLIulw,Set Adrift On Memory Bliss,spotify:album:6eUVsZ7movjdgq0PB0hvSW
spotify:track:043bfUkTydw0xJ5JjOT91w,Don't You Worry Child,spotify:album:4ljisoNarj0BpQSMIEv88L
spotify:track:4qjrCkcVbsYlitCqbBkeKe,Colors Of The Wind - End Title,spotify:album:4ddvFk8agFfRkkcVwR8sJH
spotify:track:2EcsgXlxz99UMDSPg5T8RF,Beneath Your Beautiful (feat. Emeli Sandé),spotify:album:6PBBbXmYV7dKnaik0fjkOI
spotify:track:2Gy7qnDwt8Z3MNxqat4CsK,Wouldn't It Be Nice,spotify:album:6GphKx2QAPRoVGWE9D7ou8
spotify:track:5id3Rqn7SPj1LX4FfY4nGz,Together,spotify:album:4TM7wmWEakp4xk1ZffVkL8
